"","tau1","tau2","tau3"
"1",11.9053473080631,94.6080475273549,118.664713809368
"2",13.9756179727791,70.4492859651097,131.2681903238
"3",12.2741839378994,76.3930754234081,137.207133541326
"4",12.6320205237922,78.2229541774674,110.532996374905
"5",11.8311584293163,73.5765880065312,126.745631332091
"6",14.8324969529783,74.4016778855217,123.310330693037
"7",11.5018778933774,89.6337782679687,112.337304846471
"8",12.1479475014359,74.587046115764,123.652911240254
"9",13.6633517350506,73.016817432932,132.358192067903
"10",10.8802251019164,85.4124241919948,114.495470764733
"11",12.4339733929236,76.0509606006794,117.463797425749
"12",13.944672949991,67.4477974741086,128.057151931441
"13",12.2249077227066,71.7153715537278,122.529859173291
"14",11.7479456990578,91.8073203949429,117.027009863837
"15",14.881291568079,75.8176039134641,115.081136984731
"16",12.6905144728777,66.0283912187359,128.518941636273
"17",12.6263382611646,77.3524568017258,124.01560468728
"18",11.6238703911944,84.2537046744087,116.962478720307
"19",12.615338154388,75.1847327587421,122.694734312368
"20",12.7658126027181,63.66421773147,126.641679261617
"21",12.1738603345666,87.6592058190198,118.703125902897
"22",11.6112528948444,88.9698014403725,118.406782151325
"23",13.145388068922,83.9682308964608,109.731451282124
"24",15.2657252269884,73.7945186320875,122.235415713508
"25",12.7962718047522,78.603556552649,114.126655130698
"26",14.1400971717951,86.2522527354909,112.055620347595
"27",14.2944865842096,74.9944098125523,121.278222122356
"28",12.0178919378802,82.910515150281,129.688516104476
"29",12.8207854989053,81.5689050287992,114.7740201272
"30",12.5005896716852,72.2551018756749,118.789689180665
"31",11.4704638587595,84.2568213411819,120.876002755543
"32",12.1660284328866,82.6242899484458,117.490193469247
"33",11.3285069373101,88.8281672886848,118.970269695401
"34",11.362810140674,93.9372335029549,113.490585558903
"35",10.4929379235763,78.9369388628478,124.020615413092
"36",15.3886050314502,72.3518416112713,127.273800185326
"37",11.5300361748581,77.141018260082,122.862826100332
"38",11.3896142172508,69.9487572780418,128.718430863081
"39",15.6627766503969,71.6025712789019,126.022592027208
"40",12.4817943154527,74.0426483091976,125.996789357134
"41",16.4135144140012,57.8754007575968,132.586826202649
"42",12.8878338570062,81.0217935950792,111.039448211576
"43",12.0096693573785,74.7332177745121,125.330151429786
"44",12.1567442242114,75.8833063994716,116.631926341178
"45",14.4654773819806,70.0996663837181,117.995823685488
"46",13.0611942254936,69.4808472297119,134.341448248296
"47",11.8873008018333,85.365556451136,116.048536613119
"48",11.9642906047041,79.7138692147295,122.286491232193
"49",16.0942637409212,73.2310333978331,123.582020203677
"50",16.977246567488,60.8849070941646,124.877525459018
"51",12.6493741446808,73.6052795865473,126.398292569057
"52",11.2621257450267,73.3955059099229,127.112046989133
"53",12.7715906705557,71.7483342108444,121.280340911489
"54",12.5560893462367,69.5666825630406,129.583007460999
"55",12.776820625395,76.4516464385049,123.476605449708
"56",13.304882670398,84.2877818134792,119.750804583145
"57",13.0426299371705,84.1902779925936,132.352974883676
"58",12.7650343030398,76.6078660948426,125.797046417542
"59",12.6916252827708,68.1931181108294,121.171227421618
"60",11.5521805316017,83.6329923230292,117.596631641542
"61",10.8663284582169,44.9712347014403,137.543771172909
"62",13.3499351557511,75.929237109049,125.44941502006
"63",10.6899984078219,72.8775404316252,127.035431044526
"64",12.1409234459827,76.2558826740088,125.75400679359
"65",12.2262681823112,92.896156178573,119.298275312229
"66",15.9702297298748,81.7342837602951,114.816971297993
"67",18.7234256107561,79.1606422417703,119.688144234591
"68",14.7347411658087,78.4593784084037,120.133578703858
"69",18.5640662790005,81.3426928826238,116.551001816023
"70",12.2390314609089,85.1722115742163,113.957150725271
"71",10.7366695570016,85.333591686478,114.477215760092
"72",10.8150755098127,84.4816049058184,114.340157978471
"73",10.561565132912,89.558945283535,112.261659896707
"74",14.2178015682544,79.5117926432391,120.223200501779
"75",12.9393927307145,77.6747566407643,126.717781681561
"76",14.3799809459378,67.3226651117786,125.790796448592
"77",13.6022916470021,82.4968903686253,119.074295372957
"78",12.8519580958462,84.6004128257857,116.988181016379
"79",12.7872661970451,83.8127664554459,113.703886443087
"80",12.1552234934349,72.8462544817143,130.044583296705
"81",13.5502242280373,66.2601757253345,135.025412144596
"82",13.1789163205445,78.5699423265782,121.413291609438
"83",13.943380027363,80.6950819019389,119.153179429815
"84",13.7944317393842,90.1449992845627,116.384043377346
"85",12.4933478687905,87.1237062855617,112.496194012619
"86",12.7774244007446,74.8719338097124,111.644141544068
"87",12.5260828058131,64.0825773708226,137.601415259546
"88",11.5951491474745,67.07283433145,115.109989164637
"89",12.839368479639,72.9081402613829,130.319862846422
"90",13.3637732394989,74.1799737882083,124.298547222243
"91",15.8206300319575,74.8334164334824,107.151288540757
"92",11.0165118125137,73.5945949268852,120.064308647797
"93",13.0972091791378,84.3242298297206,115.953850722984
"94",12.3417013763543,84.4650846866431,112.689493368345
"95",9.55259673883353,41.8209956463807,147.321858376455
"96",11.2462114330545,93.0578487666893,115.899702668081
"97",12.7682556142681,74.3429359312413,129.311070786821
"98",13.9148947894859,88.9678897832282,111.834127389828
"99",11.8045207680354,78.5748145372814,120.073665941712
"100",10.1546151937475,82.3506599530557,128.779104062401
"101",13.1354615813608,77.7098906825969,128.761035925395
"102",13.0955635225786,84.8960028180505,129.170445969718
"103",11.3531013868837,78.3853888309691,116.725278087426
"104",12.7328040187154,82.7370551516048,114.444593475533
"105",13.1448288976449,71.3981300902913,128.027582325908
"106",10.1289411662067,82.6532710344955,121.495263485174
"107",12.0395884706556,64.3390297825823,126.203475377881
"108",13.5128532157999,71.813127457361,128.634835290587
"109",11.5467273140203,83.5141944709889,118.355530182827
"110",15.1639864732022,78.6335549635173,123.636940404531
"111",12.5674320345922,77.3551455130638,125.932514897615
"112",12.3571202041353,75.1333645756532,126.399221728213
"113",16.0189238816569,72.8340086015637,119.50526161951
"114",14.0880095000971,77.2168445445457,126.949096726829
"115",11.4272113942,76.8918013156878,126.4486601309
"116",11.535257204979,93.0457153847864,109.652988183434
"117",10.8625826472821,81.7926947652558,111.985048754115
"118",12.3755133759593,81.4469846602757,125.21025801654
"119",10.7090932996924,82.9651407184426,122.008266570605
"120",13.0326612238815,80.3648167565508,124.638843680598
"121",13.093289359288,74.6570312222415,121.471746458689
"122",15.5490844494998,80.7441336124207,119.006984094734
"123",12.2307436428266,75.0164624070048,122.648651935699
"124",12.0462559396668,83.5193400530122,125.020538015446
"125",12.4949225260248,80.1408963087076,121.225313613816
"126",12.190232950388,76.0147276676494,126.170152725604
"127",15.2796266537253,74.1061902379012,118.193762787478
"128",12.5305187793996,89.4796269905134,112.768250633047
"129",16.3914216675337,82.2754838084123,116.189918904515
"130",14.4984904406002,80.4290859197841,117.647957684098
"131",11.4789799409396,81.4508887347079,125.686636970577
"132",13.5473427569526,63.8274612230737,127.308532512721
"133",11.512402572017,82.5754906544608,122.573283607342
"134",13.1030513716447,69.9188953727703,128.960632223114
"135",14.9297319901307,72.3192291870491,120.788613518233
"136",10.9786463813675,84.4663126078856,120.290802092273
"137",11.3496286256811,86.2264183979702,115.020679173049
"138",11.7604352009105,71.9641759341869,125.355449418834
"139",12.6186542767163,83.3544553173987,111.994349937807
"140",15.3871407423043,77.8055139034135,121.996030537388
"141",12.3610393690227,75.2206658927203,125.97312767989
"142",12.4280505000258,79.7430650702672,121.698434175417
"143",11.1027901277099,71.0470175957435,124.080704836217
"144",12.2408711883999,70.6394455957607,120.670058840598
"145",14.3749825146353,71.0723560285967,121.939348235445
"146",13.0176756723314,55.541522661563,124.320696695447
"147",14.5221663163275,85.7436070982466,110.894596576125
"148",11.0251634803179,77.7800710048302,120.395871969659
"149",11.8847364890104,79.2948483665244,118.530774326448
"150",11.6670462828841,80.0335559018644,121.747793129031
"151",10.9093155868684,92.6060015793355,115.253522475709
"152",12.803631250462,62.2811439164818,119.889806038817
"153",13.296026480109,75.5821291374051,114.365179607759
"154",13.2938468045914,65.5313311074665,130.7975929934
"155",12.5533114701923,70.1943660660491,124.021825727126
"156",15.4339980564467,75.3252456986505,122.775730390981
"157",14.5075398974657,62.1350679570427,135.270003143788
"158",10.6048473857297,71.5239927379366,133.579918491
"159",12.9774706654892,69.4377606520767,120.190434980354
"160",12.9370496507233,73.0291670223596,118.593319958519
"161",12.6254981638423,73.6488092457951,114.302746872557
"162",10.9082620645689,80.6707909050153,119.925349237021
"163",13.1314541358993,73.5202125097066,118.364694066984
"164",12.3475646274864,90.74206035312,124.498968404349
"165",11.6399716242,72.1063123455557,115.259525575531
"166",10.9682332872451,78.0865357325066,120.269483610936
"167",12.1187366884826,83.268586936304,95.86009643816
"168",12.5414826462757,63.2662571408755,135.823881171105
"169",10.6551952857978,80.2499663429154,125.634042584665
"170",12.4171470615466,64.651914433935,122.49417379996
"171",12.9313077791496,74.8246591226591,126.720278185953
"172",15.2641763344854,85.6340293360324,112.807493105897
"173",11.3615398875781,84.5551841575591,116.298695461761
"174",13.3211502082219,67.6786882250761,130.69292084306
"175",13.3013838199164,77.5692620351502,125.717274806021
"176",15.2529100751535,82.6247575815794,121.596657856087
"177",17.074767165938,87.4128514649141,111.122292510554
"178",14.1622157466354,71.8971726864163,123.014610231386
"179",13.8836809839914,68.5664573235299,126.144476294582
"180",12.4051209089138,74.5055971550292,125.197785252486
"181",12.9492475021334,73.7896384624932,123.81419259917
"182",12.1218930784785,70.9781402730408,121.990056517667
"183",13.6166659452352,85.0839836746469,116.29453488715
"184",13.349428227596,76.0456205263454,123.304460672024
"185",11.7974952725223,88.21897893939,113.679665365051
"186",12.1646815832768,86.7200650337769,118.338486734152
"187",15.305796405483,73.1847944184623,127.36688271318
"188",10.6799576695263,91.2231475116569,116.46117266871
"189",13.1115288916076,89.6118129545655,113.611904472639
"190",11.2497785566659,88.9281201140044,113.274641935598
"191",12.2324907138537,92.9529359343708,112.321549376962
"192",12.301654318195,77.059181240476,123.050415474208
"193",12.4533848936981,81.5870721780305,117.306634177422
"194",13.4088073236899,74.2488705325904,120.146266697218
"195",14.2336449918207,71.0423760418348,123.701231264918
"196",12.7016859146275,85.1808113981406,109.857864736035
"197",14.4112154663824,72.2502476621467,119.943406755746
"198",13.1773081652509,74.150698739509,132.544387093805
"199",11.9605462443733,70.952951166059,120.018498426044
"200",12.484485171908,83.9901154937396,122.112297707875
"201",12.2650437628699,67.5476289729295,128.084727837409
"202",14.5636508142886,81.4769673333323,114.535541421452
"203",12.3498295343866,68.2412456015086,136.516799520292
"204",15.8441979392729,78.4829220317036,119.668146744439
"205",15.6961275299678,86.7565747036419,109.451457176138
"206",12.168239717739,77.3943188081528,124.464995703659
"207",14.8286838559596,80.1801661904234,121.133798807727
"208",13.0783313731397,71.10592548991,127.97621764057
"209",11.220374301787,73.7530238068607,129.466093047057
"210",12.8386963727092,89.4484001649801,122.193611109836
"211",12.8173827949124,81.1223684551151,121.135731723487
"212",14.1004648351789,75.0716946171703,135.875593510443
"213",14.826098663787,72.482797892381,127.505671382852
"214",13.1894341461368,67.5615177880672,123.564770731028
"215",11.4274912413045,85.8325554836733,117.038910531054
"216",11.2447447689775,69.8372697240254,136.527980246453
"217",14.3156231284222,77.1075755332401,126.338387321599
"218",12.7318318266315,69.0036446963005,124.16155879668
"219",11.7009143799449,81.1879382521328,131.839585284012
"220",14.5269915008543,77.287603877674,128.603150701175
"221",12.2393500785448,78.8423316427685,122.479664701041
"222",11.8850800429395,74.6900632455317,126.200295280758
"223",12.335080099282,68.5516062118377,125.190590563133
"224",15.5343631760115,70.2431556994574,120.483702504747
"225",15.5209212909058,78.872571158696,113.569505624934
"226",11.0879628575864,78.6210965202138,123.754159617969
"227",17.9532527977586,74.7470339190739,97.3177722793778
"228",15.1247910600419,79.1039643117883,121.569520992331
"229",15.3192526960374,73.0273876818008,121.195110424052
"230",13.4667895146249,85.3387146681136,115.000816975949
"231",16.4730742553341,82.302750072744,120.821891891429
"232",11.2280809510303,77.2236352646467,122.906134805076
"233",14.6704142351675,76.2435507362251,124.863987737882
"234",13.6892256149142,75.4684582280728,126.130915424802
"235",13.6160624743671,77.5352312341635,119.048268869551
"236",12.4474998057769,74.9960989369877,126.694387199614
"237",13.0572658819482,69.2297715095598,120.119736452177
"238",12.572126295073,73.8606681731245,122.870400297159
"239",14.4909673134328,83.8692893137648,112.24438717393
"240",11.6603012680445,74.9902827511441,127.50944979557
"241",13.4794005403304,79.2226451110249,115.666840553707
"242",13.4328646435501,86.7889268968574,115.709528395274
"243",13.4226199280065,86.865462561262,112.866682255562
"244",11.8659745246893,88.1513529884977,114.976534069958
"245",14.4203619161167,78.2759894916935,122.565065110351
"246",11.4584114930114,76.5260739077083,121.359530268217
"247",12.6318879432825,90.6900294839854,113.477834034035
"248",12.3676182770688,86.463400343549,114.298609881699
"249",12.7719247890646,86.382323870565,116.299527785231
"250",12.2470960147225,78.0729699664357,116.688066398214
"251",17.1638013291303,80.6686219131041,115.520549491013
"252",12.7092216382372,83.3165726892392,115.884921297095
"253",13.4835272628457,77.4026069567307,126.835877959235
"254",11.6137568773405,76.3551579744841,135.224554300549
"255",12.270749533973,73.6810088844929,124.727635513033
"256",10.7998920438153,79.9241105009508,122.898674052847
"257",13.3891435930591,78.0556035346087,115.879242914548
"258",14.751340611512,81.9722725518195,114.509920790738
"259",14.5766641592824,67.1311343317378,131.128872610452
"260",13.266563816263,76.1884733839258,126.13439972469
"261",13.1208753025465,75.5427000692085,119.480616706101
"262",13.155792670907,76.2164387269739,119.865072686547
"263",13.2920810562219,92.5430794904214,118.762210401308
"264",12.7199758672209,70.7248599479647,119.508403930374
"265",17.1729182418349,81.5235663772809,123.549543409459
"266",12.9647406315208,77.2243780130972,127.241331931702
"267",14.6410650784927,84.2978026907344,122.199277367808
"268",10.0842404999136,91.6863540130626,117.933882840786
"269",11.3815226250495,84.1637608555505,118.64576495565
"270",10.7745576118812,87.7499977551901,117.6205013822
"271",11.2490909716351,83.5758745471845,124.421515765995
"272",11.5099027582552,80.9330369442637,117.646892253694
"273",15.0597011603724,83.3672580597276,122.212969117249
"274",12.9751801354042,71.1246247150207,131.667244145948
"275",12.5706050552361,78.8147036201786,123.280710023969
"276",13.3017345965835,89.0408899723188,115.744866214825
"277",13.1714548160624,75.1487094518947,125.490527761023
"278",15.015463649065,78.4557227554479,122.336486667575
"279",12.2593485711412,84.5156233702778,115.926753871252
"280",10.7957113645358,74.7135815454472,126.463551290408
"281",13.9654567432141,76.7886725850142,117.553776502386
"282",11.4777681005193,80.8664831162057,130.935643183231
"283",12.6747220673268,77.7555638229923,130.719587326051
"284",12.3447806581112,73.976485068447,123.430055542197
"285",16.5715139037901,66.5254060427865,124.080146533794
"286",14.5175211984283,62.3074616810243,128.575558137888
"287",12.6116382425414,72.9324884137053,119.217096084003
"288",12.9222514038806,67.0870201326582,126.788025613103
"289",16.7734909965086,82.6725652803526,119.855963310983
"290",12.8515137444251,73.9132641038406,126.312468723354
"291",9.54024749205314,84.7509879168866,118.086463964273
"292",16.0359175942901,85.3937330953248,119.373399118742
"293",16.3664394952002,71.457337718385,124.773699327251
"294",12.5955640366248,74.0264780802248,127.322047009451
"295",12.9931140175882,70.2439006932563,121.879928409139
"296",14.76863683422,75.4360564024046,122.453952850199
"297",12.3208733968338,66.6586806221498,137.147192542383
"298",11.4192272910942,67.177083702093,138.4000141191
"299",14.7491000534113,74.523980947452,126.0719462649
"300",11.9597276706185,77.7630921289685,122.872669530874
