,Day,log body size
F_0d_1,0,-1.2348146107654872
F_0d_2,0,-1.1259177383964394
F_0d_3,0,-0.6089455841425359
F_0d_4,0,-0.4580964325219305
F_0d_5,0,-1.2369213550788716
F_0d_6,0,-0.6244468393224621
F_0d_7,0,-0.911049923930304
F_0d_8,0,-1.5953553143378718
F_0d_9,0,-1.268704069370754
F_0d_10,0,-0.8327458884585761
F_0d_11,0,-0.6491346894111991
F_0d_12,0,-1.2081648252474038
F_0d_13,0,-1.317022644247261
F_0d_14,0,-1.4366161528321804
F_0d_15,0,-0.7406831572513988
F_0d_16,0,-1.3401361565670975
F_0d_17,0,-1.0882589687289224
F_0d_18,0,-0.7294052431795421
F_0d_19,0,-1.0507991788036752
F_0d_20,0,-0.819692089312769
F_0d_21,0,-1.1709559072862463
F_0d_22,0,-0.9591298610057228
F_0d_23,0,-0.7279251706783766
F_0d_24,0,-1.2327122989250012
F_2d_1,2,-0.2965297230669896
F_2d_2,2,-0.1136593190002991
F_2d_3,2,-0.3242223009959634
F_2d_4,2,0.0140825990822446
F_2d_5,2,-0.4014938186272342
F_2d_6,2,-0.372645663949696
F_2d_7,2,-0.321263511231132
F_2d_8,2,-0.6187477360312806
F_2d_9,2,-0.173848221905083
F_2d_10,2,-0.4021037597745871
F_2d_11,2,-0.3113243235982547
F_2d_12,2,-0.2981780752768234
F_2d_13,2,-0.1140023131032698
F_2d_14,2,-0.088041487371196
F_2d_15,2,-0.2493486322959728
F_2d_16,2,-1.3128425144551423
F_2d_17,2,-0.326058331057189
F_2d_18,2,-0.5876030269645972
F_2d_19,2,-0.1259661045747543
F_2d_20,2,-0.7990633483416018
F_2d_21,2,-0.6995958445707673
F_2d_22,2,-0.9422339995201297
F_2d_23,2,-0.1913613743022347
F_2d_24,2,-0.4613279750021799
F_4d_1,4,0.0883199110686975
F_4d_2,4,0.4956513873686161
F_4d_3,4,0.6523825765803216
F_4d_4,4,0.1686930761671039
F_4d_5,4,-0.1787161879540777
F_4d_6,4,0.6788116749518754
F_4d_7,4,0.1018649737636048
F_4d_8,4,0.0550816407833029
F_4d_9,4,0.3991533561773872
F_4d_10,4,0.2694576300364611
F_4d_11,4,0.0619141749264744
F_4d_12,4,-0.1335168167307514
F_4d_13,4,0.0054945194436681
F_4d_14,4,-0.4315130918366611
F_4d_15,4,-0.0053197055764146
F_4d_16,4,-0.4014938186272342
F_4d_17,4,0.1304785789019638
F_4d_18,4,0.4908540199460823
F_4d_19,4,-0.6778580650270134
F_4d_20,4,0.4471968000881869
F_4d_21,4,-0.0345667297541266
F_4d_22,4,-0.0052171366209793
F_4d_23,4,0.0393148904492297
F_4d_24,4,0.2216527966914944
F_6d_1,6,0.6593195102928966
F_6d_2,6,0.6412146492724363
F_6d_3,6,0.2263828662638384
F_6d_4,6,0.6738831289958156
F_6d_5,6,0.8813014373724118
F_6d_6,6,0.6349619337662629
F_6d_7,6,0.6855682831345041
F_6d_8,6,0.7083860528878239
F_6d_9,6,0.5610868585231695
F_6d_10,6,0.7173394699607606
F_6d_11,6,0.4934113264418734
F_6d_12,6,0.6796393608554124
F_6d_13,6,0.4942466657309372
F_6d_14,6,0.4099105405155577
F_6d_15,6,0.1585574147497088
F_6d_16,6,0.689876865905526
F_6d_17,6,0.7807663039593078
F_6d_18,6,0.778988775371111
F_6d_19,6,0.7401818533270429
F_6d_20,6,0.7470694007917628
F_6d_21,6,0.752324324226334
F_6d_22,6,0.5514933362413832
F_6d_23,6,0.5514933362413832
F_6d_24,6,0.496396960647307
F_8d_1,8,1.2777943214767693
F_8d_2,8,1.048075880752169
F_8d_3,8,1.5657464509702073
F_8d_4,8,1.33159066449492
F_8d_5,8,1.701207870861399
F_8d_6,8,1.6180731060019242
F_8d_7,8,1.3043346212804818
F_8d_8,8,1.1635907192813173
F_8d_9,8,1.2862874225167606
F_8d_10,8,1.3294059913441731
F_8d_11,8,0.775424210736428
F_8d_12,8,0.6333384690169284
F_8d_13,8,1.3337168074242678
F_8d_14,8,0.5458937227007618
F_8d_15,8,1.1665820656834602
F_8d_16,8,1.2275972602986305
F_8d_17,8,1.423620813505084
F_8d_18,8,1.7799049696441027
F_8d_19,8,1.6421783645545072
F_8d_20,8,1.226580331269436
F_8d_21,8,1.0947275976838045
F_8d_22,8,1.0033021087637848
F_8d_23,8,1.6535675620190728
F_8d_24,8,0.9910689650099336
F_10d_1,10,1.903617075856592
F_10d_2,10,2.1809608970933283
F_10d_3,10,2.1267438707618416
F_10d_4,10,2.011270952160313
F_10d_5,10,2.4832217294399443
F_10d_6,10,1.8839016937810928
F_10d_7,10,1.165087511001134
F_10d_8,10,2.376236010228365
F_10d_9,10,1.4677252879250546
F_10d_10,10,2.042019027088001
F_10d_11,10,1.611007947483793
F_10d_12,10,2.039805478560699
F_10d_13,10,2.2171696814102058
F_10d_14,10,1.9673670435711623
F_10d_15,10,1.8149387306132605
F_10d_16,10,1.7170731576118914
F_10d_17,10,1.912851124029232
F_10d_18,10,1.84796703679582
F_10d_19,10,1.3566531658791363
F_10d_20,10,1.530800535936633
F_10d_21,10,1.69016320598519
F_10d_22,10,1.477063166978124
F_10d_23,10,1.723083570535633
F_10d_24,10,1.6088255425739446
0,0,-1.2595956683144736
1,0,0.0683767989532334
2,0,-0.8972308067835795
3,0,-2.421076790942246
4,0,-1.3918759854431837
5,0,-1.17054846027348
6,0,-1.1239267612733466
7,0,-1.6902375098097264
8,0,-1.2638844530764155
9,0,-1.1173647083653924
10,0,-1.860717232045609
18,1,-1.052185592432791
19,1,0.093654100170219
20,1,-0.6646566866206401
21,1,-1.920854056190438
22,1,-1.2502649690954122
23,1,-1.2444270088503353
24,1,-0.9123804470126758
25,1,-1.5157838122638814
26,1,-1.20545336648404
27,1,-0.8614256313626156
28,1,-1.6104359653232314
36,2,-1.074967147411168
37,2,0.1205662132442432
38,2,-0.6528116486634481
39,2,-1.737414555570511
40,2,-0.9850936098038826
41,2,-1.085014060085831
42,2,-0.9686582504023328
43,2,-1.4161267341785189
44,2,-1.3741233571932936
45,2,-0.8296384441410226
46,2,-1.707948282890588
54,3,-0.8828663862098192
55,3,0.3514712420362191
56,3,-0.3963265789540756
57,3,-2.105468006856176
58,3,-0.8592383440714347
59,3,-1.079211995238523
60,3,-0.636941798154665
61,3,-1.576852844442917
62,3,-1.2999337751821602
63,3,-0.72799688641936
64,3,-1.287283386801919
72,4,-0.7833956647867915
73,4,0.2433262491195403
74,4,-0.4285578503114375
75,4,-1.5484332216765462
76,4,-0.7962629043161227
77,4,-1.0516888629140215
78,4,-0.3390344661295198
79,4,-1.404281060292032
80,4,-1.1642299102251672
81,4,-0.4926171258963385
82,4,-1.231662575328383
90,5,-0.8173845187368115
91,5,0.4808383294488277
92,5,-0.3092865509071977
93,5,-1.4480907126435365
94,5,-0.8072215652716526
95,5,-1.2452302200171208
96,5,-0.4084332637270695
97,5,-1.1698030244044448
98,5,-1.0276464914796162
99,5,-0.7997308929067972
100,5,-0.9141100512873316
107,6,-0.4803885843103243
108,6,0.8430611579388108
109,6,0.0369416420811216
110,6,-0.9609186263189332
111,6,-0.5648194894861099
112,6,-1.062674327083291
113,6,-0.1116790176372574
114,6,-1.19527369817224
115,6,-0.8929845164737558
116,6,-0.3833460378975329
117,6,-0.6759613525298078
125,7,-0.5279687476784727
126,7,1.0969965807814757
127,7,0.2338967297000224
128,7,-1.0162379951008795
129,7,-0.4177860698826824
130,7,-0.9645533418497748
131,7,0.1150661865841952
132,7,-0.7880902115716374
133,7,-0.9585028014762568
134,7,-0.0936085534919134
135,7,-0.5017443998498047
143,8,-0.1588797569730893
144,8,0.8671355975712256
145,8,0.1613964100084453
146,8,-0.8354887456025049
147,8,-0.2273304767663335
148,8,-1.0993209487083315
149,8,0.1799235839538733
150,8,-0.6385832064812522
151,8,-0.7343644198457897
152,8,0.0869969193017846
153,8,-0.2323517734107101
161,9,-0.0632122170677892
162,9,1.3675124794106328
163,9,0.6589858616994142
164,9,-0.5242498163961159
165,9,0.1391539201758145
166,9,-0.8129418086123419
167,9,0.8064077072942057
168,9,-0.2653556209163113
169,9,-0.587766425106945
170,9,0.194121146186008
171,9,0.1301063718063441
179,10,0.4577265755648781
180,10,1.145278181344248
181,10,1.0341672540049864
182,10,-0.0521237949471634
183,10,0.1165598389673579
184,10,-0.4367582699371818
185,10,1.144542007566706
186,10,-0.0413980447803519
187,10,-0.2606164545774656
188,10,0.6210245647429624
189,10,0.1728457957397238
197,14,1.62157463594241
198,14,1.821111402500874
199,14,1.3968930582233758
200,14,1.0745228473000636
201,14,1.326372480744713
202,14,0.8339853014732809
203,14,2.077625497043547
204,14,1.4628199808535067
205,14,0.7024862513644223
206,14,1.4722039636288646
207,14,1.7258536341871706
11,0,-1.4080564305495702
12,0,-1.3780157515669291
13,0,-1.3780157515669291
14,0,-1.584156248978016
15,0,-1.629723531351957
16,0,-1.792468132270404
17,0,-1.799436798647352
29,1,-1.5237140668741114
30,1,-1.2731371119357913
31,1,-1.3393157568346667
32,1,-1.619156954686539
33,1,-1.8078638148859827
34,1,-1.955804385981775
35,1,-1.7667597759868952
47,2,-1.102799214622331
48,2,-1.2995095097852598
49,2,-1.3727531821154275
50,2,-1.7876187936694683
51,2,-1.8310501555494008
52,2,-1.801536902928797
53,2,-1.7253288286530022
65,3,-0.7694428260808449
66,3,-1.1203743580977892
67,3,-0.9027780803590087
68,3,-1.5935034332565243
69,3,-1.70190404138785
70,3,-2.099314148384517
71,3,-1.8863210373120696
83,4,-0.7190549471509811
84,4,-0.2846169985935691
85,4,-0.7317163687217352
86,4,-1.651197664219623
87,4,-1.5092229715689145
88,4,-1.967731322525743
89,4,-1.8510982142635133
101,5,-0.5121131556128349
102,5,-0.6498168044209602
103,5,-0.2698900912942811
104,5,-1.5693245785544927
105,5,-1.6783956720374813
106,5,-1.6842990596914562
118,6,-0.1649311105863742
119,6,-0.3824979329853436
120,6,-0.3636864946537402
121,6,-1.5081772175679713
122,6,-1.0787016613217923
123,6,-1.7085866445629236
124,6,-1.4281144118659386
136,7,-0.0791082365110806
137,7,-0.3214943908674887
138,7,0.2483462722162354
139,7,-1.1244607112495828
140,7,-1.0068557209250484
141,7,-1.7321703612534176
142,7,-1.0899896219393577
154,8,0.1799235839538733
155,8,-0.3335301627679487
156,8,0.230963235336767
157,8,-0.9613722436044636
158,8,-1.0934355262545048
159,8,-1.6209103145001833
160,8,-0.9187370115779688
172,9,0.7345374764463845
173,9,0.0278158054640484
174,9,0.7617669828652427
175,9,-0.7145547031719368
176,9,-1.17054846027348
177,9,-1.471240471514233
178,9,-0.4939430088273289
190,10,1.1034246244500951
191,10,0.0829067166355487
192,10,1.02893142413964
193,10,-0.4100876676932106
194,10,-0.7897448930788977
195,10,-0.9327477487713264
196,10,0.0257890064528528
208,14,1.8947867411384949
209,14,1.4536580093096991
210,14,1.915788343259864
211,14,0.6022655848352755
212,14,0.2093871751549187
213,14,-0.0841280124288429
214,14,1.033406258040085
S_0d_1,0,1.31492768778624
S_0d_2,0,1.7913663462986944
S_0d_3,0,1.0726248780884933
S_0d_4,0,1.10880807718286
S_0d_5,0,1.139689863005061
S_0d_6,0,1.2164744527493123
S_0d_7,0,1.5302749509537097
S_0d_8,0,1.527577743778461
S_0d_9,0,1.51525982087599
S_0d_10,0,1.0303989561188562
S_0d_11,0,1.21086863225791
S_0d_12,0,1.395320061416124
S_0d_13,0,1.388677708689354
S_0d_14,0,1.878128284513568
S_0d_15,0,1.3534710078930954
S_0d_16,0,1.2020173965616874
S_0d_17,0,1.7725182678828284
S_0d_18,0,0.8762482763510753
S_0d_19,0,1.4744079424174543
S_0d_20,0,1.350647749609147
S_0d_21,0,1.3530229851521267
S_0d_22,0,1.4013661814606004
S_0d_23,0,0.7963223347539344
S_0d_24,0,1.0565508110281498
S_1d_1,1,1.0793364295851895
S_1d_2,1,1.3200354412113202
S_1d_3,1,0.8373706039721044
S_1d_4,1,1.221026835631796
S_1d_5,1,0.8672482368519709
S_1d_6,1,1.5345490264927153
S_1d_7,1,1.1468748997376186
S_1d_8,1,1.144150014150323
S_1d_9,1,0.8647170786107801
S_1d_10,1,1.2845684694287918
S_1d_11,1,1.2590957582721982
S_1d_12,1,0.4706557715547075
S_1d_13,1,1.0542789703400552
S_1d_14,1,0.725474760758822
S_1d_15,1,0.9938897590835116
S_1d_16,1,1.1474254624140892
S_1d_17,1,2.048750132882819
S_1d_18,1,1.6842963056657667
S_1d_19,1,1.3100965530872626
S_1d_20,1,1.6722049506719598
S_1d_21,1,1.476273962922659
S_1d_22,1,1.8325433435017424
S_1d_23,1,1.7573275717714945
S_1d_24,1,1.1643761091322649
S_2d_1,2,1.72301824482532
S_2d_2,2,1.9795346913293372
S_2d_3,2,1.9971855761403876
S_2d_4,2,1.975695319016332
S_2d_5,2,1.8497738520386828
S_2d_6,2,2.572911272436086
S_2d_7,2,1.1174194320724864
S_2d_8,2,1.6982983198295762
S_2d_9,2,1.8958234848928648
S_2d_10,2,1.658820761502562
S_2d_11,2,1.9768967070191688
S_2d_12,2,1.925881423249363
S_2d_13,2,1.0804102643632496
S_2d_14,2,1.7059212999428686
S_2d_15,2,1.2831843472931523
S_2d_16,2,2.037074198645278
S_2d_17,2,1.4203485036279988
S_2d_18,2,2.306437612402177
S_2d_19,2,2.021957522659803
S_2d_20,2,1.7485449673738076
S_2d_21,2,1.729642167638015
S_2d_22,2,1.9266095334187636
S_2d_23,2,2.3786540713604687
S_2d_24,2,1.9606482274889092
