,Day,Body_size_in_mm2 ,log body size
F_0d_1,0,0.290888685,-1.2348146107654872
F_0d_2,0,0.324354658,-1.1259177383964394
F_0d_3,0,0.543924089,-0.6089455841425359
F_0d_4,0,0.632486481,-0.4580964325219305
F_0d_5,0,0.290276502,-1.2369213550788716
F_0d_6,0,0.535557596,-0.6244468393224621
F_0d_7,0,0.402101826,-0.911049923930304
F_0d_8,0,0.202836445,-1.5953553143378718
F_0d_9,0,0.281195796,-1.268704069370754
F_0d_10,0,0.434853586,-0.8327458884585761
F_0d_11,0,0.522497704,-0.6491346894111991
F_0d_12,0,0.298745026,-1.2081648252474038
F_0d_13,0,0.267931844,-1.317022644247261
F_0d_14,0,0.237730844,-1.4366161528321804
F_0d_15,0,0.476788083,-0.7406831572513988
F_0d_16,0,0.261810019,-1.3401361565670977
F_0d_17,0,0.336802367,-1.0882589687289224
F_0d_18,0,0.482195694,-0.7294052431795421
F_0d_19,0,0.349658198,-1.0507991788036752
F_0d_20,0,0.440567289,-0.819692089312769
F_0d_21,0,0.310070401,-1.1709559072862465
F_0d_22,0,0.383226201,-0.9591298610057228
F_0d_23,0,0.482909907,-0.7279251706783766
F_0d_24,0,0.291500867,-1.2327122989250012
F_2d_1,2,0.743393531,-0.29652972306698966
F_2d_2,2,0.892561983,-0.11365931900029917
F_2d_3,2,0.723089481,-0.32422230099596344
F_2d_4,2,1.014182226,0.01408259908224466
F_2d_5,2,0.669319457,-0.4014938186272342
F_2d_6,2,0.688909295,-0.37264566394969606
F_2d_7,2,0.725232119,-0.32126351123113206
F_2d_8,2,0.538618508,-0.6187477360312806
F_2d_9,2,0.840424446,-0.173848221905083
F_2d_10,2,0.668911336,-0.4021037597745871
F_2d_11,2,0.732476278,-0.3113243235982547
F_2d_12,2,0.742169166,-0.2981780752768234
F_2d_13,2,0.892255892,-0.11400231310326987
F_2d_14,2,0.915722885,-0.08804148737119606
F_2d_15,2,0.779308234,-0.2493486322959728
F_2d_16,2,0.269054178,-1.3128425144551423
F_2d_17,2,0.721763085,-0.32605833105718907
F_2d_18,2,0.555657586,-0.5876030269645972
F_2d_19,2,0.88164473,-0.12596610457475432
F_2d_20,2,0.449750026,-0.7990633483416018
F_2d_21,2,0.496786042,-0.6995958445707673
F_2d_22,2,0.389756147,-0.9422339995201297
F_2d_23,2,0.825834099,-0.19136137430223474
F_2d_24,2,0.630445873,-0.4613279750021799
F_4d_1,4,1.092337517,0.0883199110686975
F_4d_2,4,1.641567187,0.49565138736861614
F_4d_3,4,1.920110193,0.6523825765803216
F_4d_4,4,1.18375676,0.16869307616710394
F_4d_5,4,0.83634323,-0.17871618795407773
F_4d_6,4,1.971533517,0.6788116749518754
F_4d_7,4,1.107233956,0.10186497376360489
F_4d_8,4,1.056626875,0.05508164078330294
F_4d_9,4,1.490562188,0.3991533561773872
F_4d_10,4,1.309254158,0.26945763003646117
F_4d_11,4,1.063871034,0.0619141749264744
F_4d_12,4,0.875012754,-0.13351681673075147
F_4d_13,4,1.005509642,0.005494519443668158
F_4d_14,4,0.649525559,-0.4315130918366611
F_4d_15,4,0.994694419,-0.00531970557641464
F_4d_16,4,0.669319457,-0.4014938186272342
F_4d_17,4,1.139373533,0.13047857890196382
F_4d_18,4,1.633710846,0.4908540199460823
F_4d_19,4,0.507703296,-0.6778580650270134
F_4d_20,4,1.563922049,0.4471968000881869
F_4d_21,4,0.966023875,-0.03456672975412662
F_4d_22,4,0.994796449,-0.005217136620979329
F_4d_23,4,1.040097949,0.03931489044922974
F_4d_24,4,1.248137945,0.22165279669149446
F_6d_1,6,1.933476176,0.6593195102928966
F_6d_2,6,1.898785838,0.6412146492724363
F_6d_3,6,1.254055709,0.22638286626383847
F_6d_4,6,1.961840629,0.6738831289958156
F_6d_5,6,2.414039384,0.8813014373724118
F_6d_6,6,1.886950311,0.6349619337662629
F_6d_7,6,1.9848995,0.6855682831345041
F_6d_8,6,2.030711152,0.7083860528878239
F_6d_9,6,1.752576268,0.5610868585231695
F_6d_10,6,2.048974594,0.7173394699607606
F_6d_11,6,1.637894092,0.4934113264418734
F_6d_12,6,1.973166003,0.6796393608554124
F_6d_13,6,1.6392628609,0.4942466657309372
F_6d_14,6,1.506682992,0.4099105405155577
F_6d_15,6,1.171819202,0.1585574147497088
F_6d_16,6,1.993470054,0.689876865905526
F_6d_17,6,2.183144577,0.7807663039593078
F_6d_18,6,2.179267422,0.778988775371111
F_6d_19,6,2.096316702,0.7401818533270429
F_6d_20,6,2.11080502,0.7470694007917628
F_6d_21,6,2.121926334,0.752324324226334
F_6d_22,6,1.735843281,0.5514933362413832
F_6d_23,6,1.735843281,0.5514933362413832
F_6d_24,6,1.642791552,0.49639696064730704
F_8d_1,8,3.588715437,1.2777943214767693
F_8d_2,8,2.852157943,1.048075880752169
F_8d_3,8,4.786246301,1.5657464509702073
F_8d_4,8,3.787062545,1.33159066449492
F_8d_5,8,5.480563208,1.7012078708613987
F_8d_6,8,5.043362922,1.6180731060019242
F_8d_7,8,3.6852362,1.3043346212804818
F_8d_8,8,3.20140802,1.1635907192813173
F_8d_9,8,3.619324559,1.2862874225167606
F_8d_10,8,3.778798082,1.3294059913441731
F_8d_11,8,2.171513111,0.775424210736428
F_8d_12,8,1.883889399,0.6333384690169284
F_8d_13,8,3.795122947,1.3337168074242678
F_8d_14,8,1.726150393,0.5458937227007618
F_8d_15,8,3.210998878,1.1665820656834602
F_8d_16,8,3.41301908,1.2275972602986305
F_8d_17,8,4.152127334,1.423620813505084
F_8d_18,8,5.929292929,1.7799049696441027
F_8d_19,8,5.166411591,1.6421783645545072
F_8d_20,8,3.409550046,1.226580331269436
F_8d_21,8,2.988368534,1.0947275976838045
F_8d_22,8,2.727272727,1.0033021087637848
F_8d_23,8,5.225589226,1.6535675620190728
F_8d_24,8,2.694112846,0.9910689650099336
F_10d_1,10,6.710121619,1.9036170758565918
F_10d_2,10,8.854810734,2.1809608970933283
F_10d_3,10,8.387511478,2.1267438707618416
F_10d_4,10,7.472808897,2.011270952160313
F_10d_5,10,11.97979798,2.4832217294399443
F_10d_6,10,6.579124579,1.8839016937810928
F_10d_7,10,3.206203449,1.165087511001134
F_10d_8,10,10.764309764,2.376236010228365
F_10d_9,10,4.339353127,1.4677252879250546
F_10d_10,10,7.706152433,2.042019027088001
F_10d_11,10,5.007856341,1.611007947483793
F_10d_12,10,7.689113356,2.039805478560699
F_10d_13,10,9.18130803,2.2171696814102058
F_10d_14,10,7.151821243,1.9673670435711623
F_10d_15,10,6.140699929,1.8149387306132605
F_10d_16,10,5.568207326,1.7170731576118914
F_10d_17,10,6.772370166,1.912851124029232
F_10d_18,10,6.346903377,1.8479670367958199
F_10d_19,10,3.883175186,1.3566531658791363
F_10d_20,10,4.621875319,1.530800535936633
F_10d_21,10,5.420365269,1.6901632059851899
F_10d_22,10,4.380063259,1.477063166978124
F_10d_23,10,5.601775329,1.7230835705356333
F_10d_24,10,4.996939088,1.6088255425739446
